"Gene","Module"
"bgh00400","blue"
"bgh01626","yellow"
"bgh02024","red"
"bgh02671","blue"
"bgh00421","yellow"
"bgh04653","turquoise"
"bgh03467","yellow"
"bgh03468","turquoise"
"bgh05473","green"
"bgh03114","blue"
"bgh03117","turquoise"
"bgh03802","yellow"
"bgh02362","turquoise"
"bgh01984","blue"
"bgh01985","blue"
"bgh00501","red"
"bgh00206","turquoise"
"bgh04462","brown"
"bgh04539","green"
"bgh04640","brown"
"bgh05920","brown"
"bgh06767","blue"
"bgh00201","green"
"bgh00202","pink"
"bgh00203","turquoise"
"bgh00205","turquoise"
"bgh04680","turquoise"
"bgh00212","yellow"
"bgh04647","blue"
"bgh05169","green"
"bgh00204","pink"
"bgh06259","green"
"bghG001053000001001","brown"
"bgh01950","red"
"bgh05121","blue"
"bgh04862","red"
"bghG001056000001001","blue"
"bgh02831","brown"
"bgh02832","brown"
"bgh02839","yellow"
"bgh01001","blue"
"bgh01869","green"
"bgh00199","turquoise"
"bgh04346","green"
"bgh06010","brown"
"bgh04338","yellow"
"bgh05935","turquoise"
"bghG001077000001001","brown"
"bghG001077000002001","brown"
"bgh05810","turquoise"
"bghG001078000001001","brown"
"bghG001078000002001","turquoise"
"bgh04337","blue"
"bgh04354","yellow"
"bgh04356","brown"
"bgh04351","turquoise"
"bgh04352","turquoise"
"bgh04332","brown"
"bgh04349","blue"
"bgh01884","green"
"bgh04348","turquoise"
"bghG001081000001001","turquoise"
"bghG001082000001001","brown"
"bghG001082000002001","turquoise"
"bghG001082000003001","turquoise"
"bgh06733","brown"
"bgh04379","turquoise"
"bghG001089000001001","brown"
"bgh05394","turquoise"
"bgh02908","blue"
"bgh03517","turquoise"
"bgh05663","blue"
"bgh00852","green"
"bgh06777","turquoise"
"bgh01157","turquoise"
"bgh02554","turquoise"
"bgh06177","brown"
"bgh04919","brown"
"bgh04512","brown"
"bghG001105000001001","green"
"bgh04510","turquoise"
"bgh05683","blue"
"bgh01151","yellow"
"bgh01154","blue"
"bgh01155","red"
"bgh01153","brown"
"bgh01156","black"
"bghG001111000001001","blue"
"bgh02907","turquoise"
"bgh02241","turquoise"
"bgh03033","blue"
"bgh04796","blue"
"bgh06455","blue"
"bgh06479","blue"
"bgh06409","pink"
"bgh01875","yellow"
"bgh03014","brown"
"bghG001129000001001","magenta"
"bgh01619","turquoise"
"bgh03016","yellow"
"bgh01898","turquoise"
"bgh06869","turquoise"
"bgh04787","brown"
"bgh03172","blue"
"bgh05024","brown"
"bgh05026","brown"
"bgh02794","blue"
"bgh01684","turquoise"
"bgh01699","turquoise"
"bghG001151000001001","brown"
"bghG001154000002001","brown"
"bghG001154000001001","magenta"
"bghG001155000001001","red"
"bghG001155000002001","turquoise"
"bghG001155000003001","turquoise"
"bgh01568","green"
"bgh05910","brown"
"bgh00054","turquoise"
"bgh02334","brown"
"bgh02446","yellow"
"bgh06596","turquoise"
"bgh01871","black"
"bghG001169000001001","brown"
"bgh05350","blue"
"bgh05666","turquoise"
"bghG001171000001001","turquoise"
"bgh00908","turquoise"
"bgh00905","turquoise"
"bgh05232","green"
"bgh05241","red"
"bgh04602","turquoise"
"bgh04621","brown"
"bgh04624","brown"
"bghG001184000001001","blue"
"bgh03285","blue"
"bgh03294","yellow"
"bgh06842","blue"
"bgh00916","yellow"
"bgh03292","turquoise"
"bgh03296","turquoise"
"bgh04626","brown"
"bgh00917","yellow"
"bgh00384","yellow"
"bgh03300","yellow"
"bgh00910","red"
"bgh04625","pink"
"bgh00918","turquoise"
"bgh04573","magenta"
"bgh05617","yellow"
"bgh00919","blue"
"bghG001199000001001","turquoise"
"bgh03450","blue"
"bgh02333","yellow"
"bgh04792","red"
"bgh00104","turquoise"
"bgh05237","blue"
"bgh05577","blue"
"bgh02330","yellow"
"bgh04988","black"
"bgh04604","black"
"bgh00911","magenta"
"bgh00709","blue"
"bgh02360","pink"
"bgh04006","brown"
"bgh00920","green"
"bgh00912","turquoise"
"bgh05264","green"
"bgh04102","turquoise"
"bgh04949","yellow"
"bghG001219000001001","pink"
"bghG001219000002001","brown"
"bgh02314","blue"
"bgh03662","red"
"bgh05549","blue"
"bgh06736","brown"
"bgh03297","red"
"bgh03806","green"
"bghG001225000001001","brown"
"bgh00913","brown"
"bghG001226000001001","brown"
"bgh00915","green"
"bgh03074","red"
"bghG001246000001001","blue"
"bgh04606","yellow"
"bgh03927","turquoise"
"bgh06233","turquoise"
"bgh04607","brown"
"bgh01979","brown"
"bgh03950","blue"
"bgh04121","black"
"bgh02892","yellow"
"bgh05265","blue"
"bgh02200","blue"
"bgh00027","turquoise"
"bgh04207","purple"
"bgh00525","turquoise"
"bgh02213","turquoise"
"bgh03930","green"
"bgh01108","green"
"bgh04208","purple"
"bgh06822","red"
"bgh01865","black"
"bgh01111","brown"
"bgh01866","turquoise"
"bgh01864","blue"
"bgh04901","blue"
"bgh02463","turquoise"
"bgh00078","blue"
"bgh06117","turquoise"
"bgh01106","green"
"bgh01109","red"
"bgh04203","purple"
"bgh05384","brown"
"bgh06326","blue"
"bghG001300000001001","blue"
"bgh02639","green"
"bgh03021","blue"
"bgh01191","blue"
"bgh01204","turquoise"
"bgh01205","brown"
"bgh03178","yellow"
"bgh04641","yellow"
"bgh01206","black"
"bgh01226","brown"
"bgh01203","green"
"bgh01201","black"
"bgh03734","brown"
"bgh03735","brown"
"bgh00153","turquoise"
"bgh04739","brown"
"bgh04781","brown"
"bgh04914","brown"
"bgh01196","turquoise"
"bgh01202","brown"
"bgh02897","brown"
"bgh00287","red"
"bgh00499","turquoise"
"bgh06019","green"
"bgh04916","turquoise"
"bgh06839","blue"
"bghG001310000001001","blue"
"bgh01269","green"
"bgh01330","turquoise"
"bgh01541","turquoise"
"bgh04776","blue"
"bgh01199","green"
"bgh00599","turquoise"
"bgh01192","blue"
"bgh01195","brown"
"bghG001319000001001","blue"
"bgh00594","blue"
"bgh01421","turquoise"
"bgh06376","turquoise"
"bgh01258","yellow"
"bgh00082","green"
"bgh03547","brown"
"bgh01257","green"
"bgh01259","blue"
"bghG001336000001001","turquoise"
"bgh01535","blue"
"bgh00320","green"
"bgh00321","blue"
"bghG001340000001001","red"
"bgh04372","blue"
"bgh05864","blue"
"bgh05178","brown"
"bgh04375","green"
"bgh01832","turquoise"
"bgh04376","green"
"bgh01829","yellow"
"bgh01830","turquoise"
"bgh00393","turquoise"
"bgh00838","turquoise"
"bgh04388","red"
"bgh06199","blue"
"bgh06880","black"
"bgh04392","yellow"
"bgh00839","turquoise"
"bgh04400","turquoise"
"bgh05472","blue"
"bgh00842","yellow"
"bgh00840","pink"
"bgh04403","brown"
"bghG001365000001001","turquoise"
"bghG001365000002001","blue"
"bgh02909","brown"
"bgh02910","blue"
"bgh02911","green"
"bgh06390","blue"
"bgh05487","turquoise"
"bgh00379","red"
"bgh02319","turquoise"
"bgh02588","magenta"
